file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,86,css,e960af94,scottbenninger,2025-01-24,15:28:11,-08:00,2025-01-24T15:28:11-08:00,0,38
style.css,87,css,e096d0b5,scottbenninger,2025-01-17,13:07:53,-08:00,2025-01-17T13:07:53-08:00,0,0
style.css,88,css,e096d0b5,scottbenninger,2025-01-17,13:07:53,-08:00,2025-01-17T13:07:53-08:00,0,0
style.css,89,css,b6ba8ab4,scottbenninger,2025-01-17,13:27:53,-08:00,2025-01-17T13:27:53-08:00,0,9
style.css,90,css,5c834a0d,scottbenninger,2025-01-17,18:26:32,-08:00,2025-01-17T18:26:32-08:00,0,16
style.css,91,css,e096d0b5,scottbenninger,2025-01-17,13:07:53,-08:00,2025-01-17T13:07:53-08:00,0,0
style.css,92,css,e096d0b5,scottbenninger,2025-01-17,13:07:53,-08:00,2025-01-17T13:07:53-08:00,0,0
style.css,93,css,b6ba8ab4,scottbenninger,2025-01-17,13:27:53,-08:00,2025-01-17T13:27:53-08:00,0,7
style.css,94,css,5c834a0d,scottbenninger,2025-01-17,18:26:32,-08:00,2025-01-17T18:26:32-08:00,0,19
style.css,95,css,b6ba8ab4,scottbenninger,2025-01-17,13:27:53,-08:00,2025-01-17T13:27:53-08:00,0,18
style.css,96,css,b6ba8ab4,scottbenninger,2025-01-17,13:27:53,-08:00,2025-01-17T13:27:53-08:00,0,13
style.css,97,css,5c834a0d,scottbenninger,2025-01-17,18:26:32,-08:00,2025-01-17T18:26:32-08:00,0,37
style.css,98,css,e960af94,scottbenninger,2025-01-24,15:28:11,-08:00,2025-01-24T15:28:11-08:00,0,17
style.css,99,css,b6ba8ab4,scottbenninger,2025-01-17,13:27:53,-08:00,2025-01-17T13:27:53-08:00,0,12
style.css,100,css,b6ba8ab4,scottbenninger,2025-01-17,13:27:53,-08:00,2025-01-17T13:27:53-08:00,0,18
style.css,101,css,b6ba8ab4,scottbenninger,2025-01-17,13:27:53,-08:00,2025-01-17T13:27:53-08:00,0,15
style.css,102,css,5c834a0d,scottbenninger,2025-01-17,18:26:32,-08:00,2025-01-17T18:26:32-08:00,0,33
style.css,103,css,e096d0b5,scottbenninger,2025-01-17,13:07:53,-08:00,2025-01-17T13:07:53-08:00,0,0
style.css,104,css,e096d0b5,scottbenninger,2025-01-17,13:07:53,-08:00,2025-01-17T13:07:53-08:00,0,0
style.css,105,css,b6ba8ab4,scottbenninger,2025-01-17,13:27:53,-08:00,2025-01-17T13:27:53-08:00,0,13
style.css,106,css,5c834a0d,scottbenninger,2025-01-17,18:26:32,-08:00,2025-01-17T18:26:32-08:00,0,34
style.css,107,css,a60880da,scottbenninger,2025-01-17,12:30:01,-08:00,2025-01-17T12:30:01-08:00,0,0
style.css,108,css,c74d0007,scottbenninger,2025-01-17,13:56:49,-08:00,2025-01-17T13:56:49-08:00,0,0
style.css,109,css,f464e938,scottbenninger,2025-01-17,14:06:00,-08:00,2025-01-17T14:06:00-08:00,0,26
style.css,110,css,c74d0007,scottbenninger,2025-01-17,13:56:49,-08:00,2025-01-17T13:56:49-08:00,0,10
style.css,111,css,5c834a0d,scottbenninger,2025-01-17,18:26:32,-08:00,2025-01-17T18:26:32-08:00,0,13
style.css,112,css,5c834a0d,scottbenninger,2025-01-17,18:26:32,-08:00,2025-01-17T18:26:32-08:00,0,59
style.css,113,css,5c834a0d,scottbenninger,2025-01-17,18:26:32,-08:00,2025-01-17T18:26:32-08:00,0,8
style.css,114,css,28ab9a7f,scottbenninger,2025-01-24,15:30:45,-08:00,2025-01-24T15:30:45-08:00,0,44
style.css,115,css,c74d0007,scottbenninger,2025-01-17,13:56:49,-08:00,2025-01-17T13:56:49-08:00,0,0
style.css,116,css,c74d0007,scottbenninger,2025-01-17,13:56:49,-08:00,2025-01-17T13:56:49-08:00,0,0
style.css,117,css,c74d0007,scottbenninger,2025-01-17,13:56:49,-08:00,2025-01-17T13:56:49-08:00,0,18
style.css,118,css,5c834a0d,scottbenninger,2025-01-17,18:26:32,-08:00,2025-01-17T18:26:32-08:00,0,13
style.css,119,css,5c834a0d,scottbenninger,2025-01-17,18:26:32,-08:00,2025-01-17T18:26:32-08:00,0,24
style.css,120,css,5c834a0d,scottbenninger,2025-01-17,18:26:32,-08:00,2025-01-17T18:26:32-08:00,0,16
style.css,121,css,e960af94,scottbenninger,2025-01-24,15:28:11,-08:00,2025-01-24T15:28:11-08:00,0,37
style.css,122,css,5c834a0d,scottbenninger,2025-01-17,18:26:32,-08:00,2025-01-17T18:26:32-08:00,0,12
style.css,123,css,5c834a0d,scottbenninger,2025-01-17,18:26:32,-08:00,2025-01-17T18:26:32-08:00,0,18
style.css,124,css,5c834a0d,scottbenninger,2025-01-17,18:26:32,-08:00,2025-01-17T18:26:32-08:00,0,25
style.css,125,css,c74d0007,scottbenninger,2025-01-17,13:56:49,-08:00,2025-01-17T13:56:49-08:00,0,0
style.css,126,css,c74d0007,scottbenninger,2025-01-17,13:56:49,-08:00,2025-01-17T13:56:49-08:00,0,0
style.css,127,css,c74d0007,scottbenninger,2025-01-17,13:56:49,-08:00,2025-01-17T13:56:49-08:00,0,14
style.css,128,css,5c834a0d,scottbenninger,2025-01-17,18:26:32,-08:00,2025-01-17T18:26:32-08:00,0,11
style.css,129,css,5c834a0d,scottbenninger,2025-01-17,18:26:32,-08:00,2025-01-17T18:26:32-08:00,0,12
style.css,130,css,c74d0007,scottbenninger,2025-01-17,13:56:49,-08:00,2025-01-17T13:56:49-08:00,0,0
style.css,131,css,c74d0007,scottbenninger,2025-01-17,13:56:49,-08:00,2025-01-17T13:56:49-08:00,0,0
style.css,132,css,c74d0007,scottbenninger,2025-01-17,13:56:49,-08:00,2025-01-17T13:56:49-08:00,0,13
style.css,133,css,5c834a0d,scottbenninger,2025-01-17,18:26:32,-08:00,2025-01-17T18:26:32-08:00,0,9
style.css,134,css,5c834a0d,scottbenninger,2025-01-17,18:26:32,-08:00,2025-01-17T18:26:32-08:00,0,16
style.css,135,css,5c834a0d,scottbenninger,2025-01-17,18:26:32,-08:00,2025-01-17T18:26:32-08:00,0,16
style.css,136,css,5c834a0d,scottbenninger,2025-01-17,18:26:32,-08:00,2025-01-17T18:26:32-08:00,0,18
style.css,137,css,10e7ad6e,scottbenninger,2025-01-31,11:14:04,-08:00,2025-01-31T11:14:04-08:00,0,19
style.css,138,css,c74d0007,scottbenninger,2025-01-17,13:56:49,-08:00,2025-01-17T13:56:49-08:00,0,0
style.css,139,css,c74d0007,scottbenninger,2025-01-17,13:56:49,-08:00,2025-01-17T13:56:49-08:00,0,0
style.css,140,css,c74d0007,scottbenninger,2025-01-17,13:56:49,-08:00,2025-01-17T13:56:49-08:00,0,12
